14
0, (0, 5)
1, (1, 4)
2, (1, 11)
3, (2, 3)
4, (2, 7)
5, (2, 10)
6, (3, 6)
7, (3, 9)
8, (4, 8)
9, (6, 7)
10, (6, 10)
11, (7, 9)
12, (8, 11)
13, (9, 10)
