51
0, (4, 5, 7, 8, 10, 11)
1, (4, 5, 6, 9, 10, 11)
2, (4, 5, 6, 8, 9, 10)
3, (4, 5, 6, 7, 9, 11)
4, (4, 5, 6, 7, 8, 9)
5, (3, 5, 6, 7, 10, 11)
6, (3, 5, 6, 7, 8, 10)
7, (3, 4, 6, 8, 10, 11)
8, (3, 4, 6, 7, 9, 10)
9, (3, 4, 6, 7, 8, 11)
10, (2, 5, 6, 8, 10, 11)
11, (2, 5, 6, 7, 9, 10)
12, (2, 5, 6, 7, 8, 11)
13, (2, 4, 7, 8, 10, 11)
14, (2, 4, 6, 9, 10, 11)
15, (2, 4, 6, 8, 9, 10)
16, (2, 4, 6, 7, 9, 11)
17, (2, 4, 6, 7, 8, 9)
18, (2, 3, 6, 7, 10, 11)
19, (2, 3, 6, 7, 8, 10)
20, (1, 5, 7, 8, 10, 11)
21, (1, 5, 6, 9, 10, 11)
22, (1, 5, 6, 8, 9, 10)
23, (1, 5, 6, 7, 9, 11)
24, (1, 5, 6, 7, 8, 9)
25, (1, 4, 7, 9, 10, 11)
26, (1, 4, 7, 8, 9, 10)
27, (1, 4, 6, 8, 9, 11)
28, (1, 3, 6, 8, 10, 11)
29, (1, 3, 6, 7, 9, 10)
30, (1, 3, 6, 7, 8, 11)
31, (1, 2, 7, 8, 10, 11)
32, (1, 2, 6, 9, 10, 11)
33, (1, 2, 6, 8, 9, 10)
34, (1, 2, 6, 7, 9, 11)
35, (1, 2, 6, 7, 8, 9)
36, (0, 5, 7, 9, 10, 11)
37, (0, 5, 7, 8, 9, 10)
38, (0, 5, 6, 8, 9, 11)
39, (0, 4, 8, 9, 10, 11)
40, (0, 4, 7, 8, 9, 11)
41, (0, 3, 7, 8, 10, 11)
42, (0, 3, 6, 9, 10, 11)
43, (0, 3, 6, 8, 9, 10)
44, (0, 3, 6, 7, 9, 11)
45, (0, 3, 6, 7, 8, 9)
46, (0, 2, 7, 9, 10, 11)
47, (0, 2, 7, 8, 9, 10)
48, (0, 2, 6, 8, 9, 11)
49, (0, 1, 8, 9, 10, 11)
50, (0, 1, 7, 8, 9, 11)
